COLLISION_ID,CRASH_DATETIME,YEAR,MONTH,HOUR,DAY_OF_WEEK,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE,VEHICLE_MAKE,VEHICLE_YEAR,DRIVER_SEX,POINT_OF_IMPACT,TRAVEL_DIRECTION
4707317,2024-03-05 06:05:00,2024,3,6,Tuesday,Unknown,0,40.83934,-73.8257,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Sedan,Hond -Car/Suv,2020,M,Left Rear Bumper,South
4707630,2024-03-05 09:00:00,2024,3,9,Tuesday,Queens,11004,40.74234,-73.70226,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Mazd -Car/Suv,2022,Unknown,Left Side Doors,North
4707743,2024-02-15 05:50:00,2024,2,5,Thursday,Bronx,10460,40.835968,-73.87,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Box Truck,Intl-Truck/Bus,2022,M,Right Front Quarter Panel,South
4707743,2024-02-15 05:50:00,2024,2,5,Thursday,Bronx,10460,40.835968,-73.87,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,Box Truck,Unknown,0,Unknown,Left Front Quarter Panel,South
4707845,2024-03-02 05:39:00,2024,3,5,Saturday,Brooklyn,11236,40.639854,-73.89781,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,Sedan,Infi -Car/Suv,0,Unknown,Right Front Bumper,East
4707465,2024-03-05 18:30:00,2024,3,18,Tuesday,Unknown,0,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Unknown,0,Unknown,Left Front Quarter Panel,North
4707465,2024-03-05 18:30:00,2024,3,18,Tuesday,Unknown,0,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Kia -Car/Suv,2023,F,Right Front Quarter Panel,North
4707422,2024-03-05 20:25:00,2024,3,20,Tuesday,Manhattan,10001,40.746037,-73.990524,1,0,1,0,0,0,0,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Unknown,Unknown,0,Unknown,Unknown,East
4707581,2024-03-05 16:10:00,2024,3,16,Tuesday,Brooklyn,11233,40.685184,-73.920456,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unknown,Isuzu,2024,M,Right Front Quarter Panel,North
4707581,2024-03-05 16:10:00,2024,3,16,Tuesday,Brooklyn,11233,40.685184,-73.920456,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Ford -Car/Suv,2010,Unknown,Left Front Bumper,North
4707382,2024-03-05 17:58:00,2024,3,17,Tuesday,Queens,11103,40.75967,-73.92047,1,0,0,0,0,0,1,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Station Wagon/Sport Utility Vehicle,Niss -Car/Suv,2015,F,Left Front Quarter Panel,West
4707863,2024-03-02 09:50:00,2024,3,9,Saturday,Unknown,0,40.67772,-73.86486,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Linc -Car/Suv,2010,Unknown,Left Front Bumper,North
4707863,2024-03-02 09:50:00,2024,3,9,Saturday,Unknown,0,40.67772,-73.86486,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Pick-Up Truck,Ford -Car/Suv,2014,M,Right Rear Bumper,East
4707540,2024-03-05 16:58:00,2024,3,16,Tuesday,Unknown,0,40.697853,-73.93325,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper,Unspecified,Station Wagon/Sport Utility Vehicle,Jeep -Car/Suv,2014,M,Right Rear Bumper,South
4707540,2024-03-05 16:58:00,2024,3,16,Tuesday,Unknown,0,40.697853,-73.93325,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper,Passing Or Lane Usage Improper,Sedan,Hyun -Car/Suv,0,Unknown,Other,South
4707430,2024-03-05 11:00:00,2024,3,11,Tuesday,Unknown,0,40.729996,-73.91187,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Sedan,Bmw -Car/Suv,2017,F,Center Back End,West
4707541,2024-03-05 22:00:00,2024,3,22,Tuesday,Unknown,0,40.699158,-73.927055,0,0,0,0,0,0,0,0,Passing Too Closely,Passing Too Closely,Unknown,Unknown,0,Unknown,Right Side Doors,East
4707487,2024-03-05 09:00:00,2024,3,9,Tuesday,Bronx,10459,40.82737,-73.89294,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Sedan,Hond -Car/Suv,2013,Unknown,Left Side Doors,North
4707163,2024-03-05 05:45:00,2024,3,5,Tuesday,Brooklyn,11226,40.654457,-73.960785,1,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,E-Scooter,Unknown,0,M,Center Front End,East
4707163,2024-03-05 05:45:00,2024,3,5,Tuesday,Brooklyn,11226,40.654457,-73.960785,1,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Sedan,Hond -Car/Suv,2006,M,Left Front Bumper,North
4707221,2024-03-05 08:30:00,2024,3,8,Tuesday,Unknown,0,40.737682,-73.85206,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Sedan,Niss -Car/Suv,2020,Unknown,Other,West
4707378,2024-03-05 17:50:00,2024,3,17,Tuesday,Unknown,0,40.73771,-73.93591,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Sedan,Ford -Car/Suv,2017,M,Center Back End,East
4707378,2024-03-05 17:50:00,2024,3,17,Tuesday,Unknown,0,40.73771,-73.93591,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Station Wagon/Sport Utility Vehicle,Jeep -Car/Suv,2021,F,Center Front End,East
4707489,2024-03-05 22:51:00,2024,3,22,Tuesday,Bronx,10468,40.862186,-73.91003,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,Toyt -Car/Suv,2021,M,Left Rear Bumper,East
4707425,2024-03-05 10:40:00,2024,3,10,Tuesday,Manhattan,10003,40.738503,-73.991806,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Driver Inattention/Distraction,E-Bike,Unknown,0,Unknown,Center Front End,South
4707824,2024-03-05 17:50:00,2024,3,17,Tuesday,Manhattan,10016,40.750156,-73.97699,1,0,0,0,0,0,1,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Bus,Unknown,2024,Unknown,No Damage,South
4707824,2024-03-05 17:50:00,2024,3,17,Tuesday,Manhattan,10016,40.750156,-73.97699,1,0,0,0,0,0,1,0,Failure To Yield Right-Of-Way,Failure To Yield Right-Of-Way,Sedan,Ford -Car/Suv,2021,M,Left Front Bumper,South
4707861,2024-03-05 20:39:00,2024,3,20,Tuesday,Brooklyn,11208,40.67374,-73.88341,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,Sedan,Merz -Car/Suv,2016,Unknown,Left Front Quarter Panel,North
4707450,2024-03-05 11:25:00,2024,3,11,Tuesday,Brooklyn,11210,40.635708,-73.95439,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unknown,Unknown,0,Unknown,Right Front Bumper,East
4707316,2024-03-05 06:07:00,2024,3,6,Tuesday,Unknown,0,40.83934,-73.8257,3,0,0,0,0,0,3,0,Pavement Slippery,Unspecified,Pick-Up Truck,Ford -Car/Suv,2013,M,Center Back End,South
4707316,2024-03-05 06:07:00,2024,3,6,Tuesday,Unknown,0,40.83934,-73.8257,3,0,0,0,0,0,3,0,Pavement Slippery,Pavement Slippery,Bus,Mcin-Truck/Bus,2006,F,Center Front End,South
4707339,2024-03-05 09:43:00,2024,3,9,Tuesday,Unknown,0,,,4,0,0,0,0,0,4,0,Following Too Closely,Following Too Closely,Sedan,Niss -Car/Suv,2017,M,Left Rear Bumper,East
4707396,2024-03-05 18:24:00,2024,3,18,Tuesday,Queens,11435,40.695446,-73.81157,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Sedan,Hond -Car/Suv,2010,M,Right Front Bumper,North
4707288,2024-03-05 12:54:00,2024,3,12,Tuesday,Brooklyn,11249,40.70113,-73.96087,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,Box Truck,Hino -Truck/Bus,2007,M,Right Front Quarter Panel,Northeast
4707288,2024-03-05 12:54:00,2024,3,12,Tuesday,Brooklyn,11249,40.70113,-73.96087,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Sedan,Toyt -Car/Suv,2020,M,Left Side Doors,Northeast
4707634,2024-03-05 11:20:00,2024,3,11,Tuesday,Unknown,0,,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Station Wagon/Sport Utility Vehicle,Volk -Car/Suv,2019,M,Right Front Bumper,East
4707331,2024-03-05 09:30:00,2024,3,9,Tuesday,Manhattan,10002,40.71983,-73.98755,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Ford -Car/Suv,2019,M,Right Front Bumper,North
4707331,2024-03-05 09:30:00,2024,3,9,Tuesday,Manhattan,10002,40.71983,-73.98755,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Hond -Car/Suv,2016,F,Left Front Bumper,West
4707434,2024-03-05 11:05:00,2024,3,11,Tuesday,Brooklyn,11215,40.670357,-73.98872,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Sedan,Bmw -Car/Suv,2018,M,Center Back End,North
4707434,2024-03-05 11:05:00,2024,3,11,Tuesday,Brooklyn,11215,40.670357,-73.98872,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,Jeep -Car/Suv,2021,M,Center Front End,North
4707434,2024-03-05 11:05:00,2024,3,11,Tuesday,Brooklyn,11215,40.670357,-73.98872,2,0,0,0,0,0,2,0,Following Too Closely,Following Too Closely,Van,Seagrave,2016,M,Center Front End,North
4707810,2024-02-29 15:15:00,2024,2,15,Thursday,Queens,11434,40.66684,-73.78941,0,0,0,0,0,0,0,0,Driver Inexperience,Other Vehicular,Sedan,Audi -Car/Suv,2019,M,Center Front End,North
4707810,2024-02-29 15:15:00,2024,2,15,Thursday,Queens,11434,40.66684,-73.78941,0,0,0,0,0,0,0,0,Driver Inexperience,Other Vehicular,Station Wagon/Sport Utility Vehicle,Toyt -Car/Suv,2020,M,Center Front End,North
